,"US Bonds","US Equities","Int'l Equities","Commodities","US Tbill","Inflation"
2008-10-31,-0.0241,-0.2019,-0.2527,-0.3927,0.0007,-0.0193
2008-11-30,0.0411,-0.0773,-0.0566,-0.1743,0.0005,-0.0112
2008-12-31,0.0313,0.0105,0.0568,-0.1537,0.0001,0.0046
2009-01-31,-0.0095,-0.0920,-0.1086,-0.0982,0.0000,0.0055
2009-02-28,-0.0025,-0.1192,-0.1139,-0.0650,0.0002,0.0018
2009-03-31,0.0128,0.0805,0.0600,0.0431,0.0002,0.0027
2009-04-30,0.0017,0.0873,0.1147,-0.0093,0.0002,0.0027
2009-05-31,0.0069,0.0530,0.1072,0.1643,0.0001,0.0082
2009-06-30,0.0062,0.0020,-0.0054,0.0057,0.0001,-0.0009
2009-07-31,0.0132,0.0703,0.0838,0.0044,0.0002,0.0018
2009-08-31,0.0108,0.0348,0.0517,-0.0242,0.0002,0.0009
2009-09-30,0.0108,0.0360,0.0371,0.0017,0.0001,0.0009
2009-10-31,0.0042,-0.0189,-0.0126,0.0555,0.0001,0.0009
2009-11-30,0.0134,0.0566,0.0199,0.0150,0.0001,0.0009
2009-12-31,-0.0175,0.0189,0.0143,0.0086,0.0000,0.0035
